    Transaction Date   Post Date                    Description            Category        Type   Amount  Memo              Category_LLM                                                                                                      LLM Answer
0         12/24/2023  12/24/2023                CHIPOTLE ONLINE        Food & Drink        Sale   -33.17   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
1         12/22/2023  12/24/2023                BRAVO-DEERFIELD        Food & Drink        Sale   -50.17   NaN                RESTAURANT                                                                                                      RESTAURANT
2         12/22/2023  12/24/2023                MARSHALLS #1172            Shopping        Sale   -49.06   NaN              RETAIL_STORE                                                                                                    RETAIL_STORE
3         12/22/2023  12/24/2023          DD DOORDASH WINGSANDR        Food & Drink        Sale   -62.31   NaN                RESTAURANT                                                                                                      RESTAURANT
4         12/21/2023  12/24/2023                         KROGER           Groceries        Sale  -131.72   NaN                 NO_ANSWER         THE DESCRIPTION PROVIDED DOES NOT CONTAIN ENOUGH INFORMATION TO DETERMINE THE EXACT CATEGORY, BUT GIVEN
5         12/22/2023  12/24/2023              HOBBY-LOBBY #0219            Shopping        Sale   -48.65   NaN              RETAIL_STORE                                                                                                    RETAIL_STORE
6         12/23/2023  12/24/2023         GRUBHUB*ELPICANTEMEXIC        Food & Drink        Sale   -43.52   NaN                RESTAURANT                                                                                                      RESTAURANT
7         12/22/2023  12/24/2023           Amazon.com*IR7W31WJ3            Shopping        Sale    -5.87   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
8         12/23/2023  12/24/2023      SPEEDWAY 01829 705 CORWIN                 Gas        Sale    -9.15   NaN                 NO_ANSWER                                                                                                                
9         12/23/2023  12/24/2023           MICHAELS STORES 1352            Shopping        Sale   -49.72   NaN              RETAIL_STORE                                                                                                    RETAIL_STORE
10        12/21/2023  12/22/2023               KROGER FUEL 4408                 Gas        Sale   -45.10   NaN  GAS_OR_CONVENIENCE_STORE                                                                                        GAS_OR_CONVENIENCE_STORE
11        12/21/2023  12/22/2023       ADVANCE AUTO PARTS #6919          Automotive        Sale   -11.73   NaN                 NO_ANSWER                                                             RETRAIL_STORE. ADVANCE AUTO PARTS IS A RETAIL STORE
12        12/21/2023  12/22/2023         AMZN Mktp US*FY0T710E3            Shopping        Sale   -66.14   NaN                 NO_ANSWER                                                           BASED ON THE TRANSACTION DESCRIPTION "AMZN MKTP US*FY
13        12/22/2023  12/22/2023                 APPLE.COM/BILL            Shopping        Sale    -3.19   NaN                  BILL_PAY                                            BASED ON THE DESCRIPTION, THIS TRANSACTION FALLS UNDER THE "BILL_PAY
14        12/21/2023  12/22/2023         AMZN Mktp US*XG7J13XK3            Shopping        Sale   -24.54   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
15        12/20/2023  12/22/2023          UDON THAI &amp; SUSHI        Food & Drink        Sale   -16.00   NaN                RESTAURANT                                                                                                      RESTAURANT
16        12/21/2023  12/22/2023         AMZN Mktp US*AQ4X48FC3            Shopping        Sale   -10.66   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
17        12/20/2023  12/21/2023         AMZN Mktp US*YR26Q2BC3            Shopping        Sale   -42.67   NaN                 NO_ANSWER                                                           BASED ON THE TRANSACTION DESCRIPTION "AMZN MKTP US*YR
18        12/20/2023  12/21/2023                WALGREENS #1281   Health & Wellness        Sale   -85.48   NaN                   GROCERY                                                     GROCERY OR PHARMACY? SINCE THE DESCRIPTION DOES NOT SPECIFY
19        12/20/2023  12/21/2023         SQ *HEATHER ROGERS LLC            Personal        Sale  -128.00   NaN                 NO_ANSWER                                                                 RETRAIL_STORE (ASSUMING SQ STANDS FOR SQUARE, A
20        12/20/2023  12/21/2023          DD DOORDASH CATCH-A-F        Food & Drink        Sale   -32.92   NaN                RESTAURANT                                                                                                      RESTAURANT
21        12/20/2023  12/21/2023               MCDONALD'S F7033        Food & Drink        Sale    -7.88   NaN                RESTAURANT                                                                                                      RESTAURANT
22        12/21/2023  12/21/2023          DD DOORDASH CRUMBLCOO        Food & Drink        Sale   -57.29   NaN                RESTAURANT                                                                                                      RESTAURANT
23        12/21/2023  12/21/2023                CHIPOTLE ONLINE        Food & Drink        Sale   -36.32   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
24        12/19/2023  12/20/2023      SPEEDWAY 01829 705 CORWIN                 Gas        Sale    -4.58   NaN                 NO_ANSWER                                                                                                                
25        12/19/2023  12/20/2023                 P CHOPRA 1 INC        Food & Drink        Sale  -105.80   NaN                RESTAURANT                                                   RESTAURANT (BASED ON THE GIVEN INFORMATION, IT IS LIKELY THAT
26        12/20/2023  12/20/2023         PANERA BREAD #204922 O        Food & Drink        Sale   -10.08   NaN                RESTAURANT                                                                                                      RESTAURANT
27        12/19/2023  12/20/2023                 APPLE.COM/BILL            Shopping        Sale    -3.18   NaN                  BILL_PAY                                            BASED ON THE DESCRIPTION, THIS TRANSACTION FALLS UNDER THE "BILL_PAY
28        12/19/2023  12/20/2023          DD DOORDASH PANDAEXPR        Food & Drink        Sale   -19.49   NaN                RESTAURANT                               RESTAURANT. THIS TRANSACTION DESCRIPTION SUGGESTS A FOOD DELIVERY SERVICE, MAKING
29        12/17/2023  12/19/2023              TACO BELL #015425        Food & Drink        Sale   -11.04   NaN                RESTAURANT                                                                                                      RESTAURANT
30        12/18/2023  12/19/2023         TARGET        00024869            Shopping        Sale    -2.67   NaN              RETAIL_STORE                                                                                                    RETAIL_STORE
